Date,Close,High,Low,Open
8/18/2009,2336.89624,2384.709323,2296.874846,2384.709323
8/19/2009,2277.66333,2351.085522,2271.120616,2337.102179
8/20/2009,2328.54834,2330.609295,2279.107392,2279.107392
8/21/2009,2333.806152,2346.743637,2313.679006,2328.341277
8/24/2009,2375.781738,2379.813564,2335.662203,2335.662203
8/25/2009,2380.428223,2382.318042,2351.76723,2375.575384
8/26/2009,2379.994141,2387.284872,2366.183644,2379.70631
8/27/2009,2355.972412,2379.575499,2338.60004,2379.575499
8/28/2009,2377.154297,2378.018277,2355.875098,2356.487135
8/31/2009,2341.445801,2378.198274,2333.217118,2377.360172
9/1/2009,2326.823486,2355.717381,2325.375545,2341.342941
9/2/2009,2285.835938,2325.792388,2272.675318,2325.792388
9/3/2009,2322.155518,2329.191132,2284.838858,2286.144715
9/4/2009,2322.645508,2333.856008,2315.963639,2322.468513
9/7/2009,2340.300781,2342.066581,2323.064393,2323.064393
9/8/2009,2371.209717,2371.310787,2333.775139,2340.613007
9/9/2009,2383.245117,2389.696038,2364.554927,2371.415744
9/10/2009,2411.769287,2422.486888,2383.658319,2383.658319
9/11/2009,2415.852051,2425.295531,2408.319385,2412.081201
9/14/2009,2382.609131,2415.014851,2376.940406,2415.014851
9/15/2009,2420.014648,2420.727755,2382.875226,2382.875226
9/16/2009,2439.261963,2442.048964,2420.220712,2420.220712
9/17/2009,2456.890381,2474.691689,2440.08586,2440.08586
9/24/2009,2468.806152,2482.753608,2454.761532,2457.199426
9/25/2009,2444.48877,2468.083798,2432.341293,2468.083798
9/28/2009,2397.734375,2444.282609,2394.678586,2444.282609
9/29/2009,2443.736084,2444.372046,2398.456838,2398.456838
9/30/2009,2467.495117,2471.781816,2434.925339,2444.15496
10/1/2009,2477.874512,2484.582258,2467.541906,2467.807032
10/2/2009,2479.751221,2493.266807,2432.972039,2477.461515
10/5/2009,2480.316406,2485.983178,2453.947317,2479.029347
10/6/2009,2528.047363,2532.964164,2480.729141,2480.729141
10/7/2009,2513.308105,2559.570219,2499.326716,2528.665417
10/8/2009,2484.421387,2524.053878,2472.530736,2513.727131
10/9/2009,2474.304443,2489.826055,2464.51088,2484.839189
10/12/2009,2456.593262,2480.661416,2446.373689,2474.723659
10/13/2009,2471.895508,2486.036069,2456.888037,2457.00522
10/14/2009,2511.623047,2512.029037,2472.204661,2472.204661
10/15/2009,2515.285156,2537.5443,2505.945432,2512.242306
10/16/2009,2515.708008,2520.795945,2501.69659,2515.491219
10/19/2009,2520.826172,2521.461157,2497.227967,2515.399381
10/20/2009,2502.118652,2531.692452,2493.686852,2521.237781
10/21/2009,2476.700684,2501.294697,2461.930018,2501.294697
10/22/2009,2433.089355,2476.716563,2421.42062,2476.282498
10/23/2009,2467.852051,2469.046096,2429.46243,2433.398312
10/26/2009,2467.618164,2475.80974,2456.32539,2468.381074
10/27/2009,2425.106445,2466.780847,2417.37286,2466.780847
10/28/2009,2355.222412,2426.684722,2336.706286,2424.312744
10/29/2009,2343.94165,2354.605297,2235.299886,2354.605297
10/30/2009,2367.608643,2402.322377,2344.970609,2344.970609
11/2/2009,2371.549805,2373.105652,2294.466623,2365.556874
11/3/2009,2334.015137,2386.087085,2328.362281,2371.860588
11/4/2009,2371.763672,2371.804686,2334.849093,2334.849093
11/5/2009,2367.121826,2376.172255,2355.349092,2371.558421
11/6/2009,2395.012695,2403.178393,2367.532808,2367.532808
11/9/2009,2406.340332,2406.826153,2380.401157,2395.319765
11/10/2009,2381.862305,2432.240225,2371.948628,2406.648205
11/11/2009,2403.7854,2414.815977,2380.179385,2382.483251
11/12/2009,2420.186768,2433.91719,2405.036234,2405.036234
11/13/2009,2426.706543,2431.136302,2408.526343,2419.980731
11/16/2009,2468.579102,2471.614872,2427.219625,2427.219625
11/17/2009,2473.692627,2486.917941,2461.179931,2468.888859
11/18/2009,2484.132324,2487.513296,2451.611617,2473.589766
11/19/2009,2468.692139,2491.378269,2458.183514,2483.824363
11/20/2009,2487.268311,2490.198128,2458.532367,2468.164073
11/23/2009,2481.319336,2494.727749,2467.408745,2487.684078
11/24/2009,2471.787598,2491.767775,2455.227209,2481.421255
11/25/2009,2461.432373,2482.195482,2458.646349,2470.996943
11/26/2009,2393.425781,2462.222173,2386.636983,2459.842139
11/30/2009,2415.74292,2430.157398,2370.437798,2393.322894
12/1/2009,2452.405273,2452.405273,2412.902909,2415.947712
12/2/2009,2471.467529,2481.785242,2452.821284,2452.821284
12/3/2009,2499.939697,2502.453515,2471.057766,2471.057766
12/4/2009,2511.447021,2512.565142,2484.802064,2499.522682
12/7/2009,2483.661377,2516.08614,2478.487506,2511.857301
12/8/2009,2483.79541,2497.414753,2470.140912,2484.188217
12/9/2009,2481.200439,2485.740057,2462.783921,2483.693262
12/10/2009,2486.340332,2492.217057,2476.476702,2481.405465
12/11/2009,2519.001221,2519.001221,2485.725414,2485.725414
12/14/2009,2506.288574,2519.206041,2492.35601,2519.206041
12/15/2009,2494.639893,2510.191289,2481.599385,2505.49445
12/16/2009,2522.447021,2523.092993,2482.341644,2494.950286
12/17/2009,2509.478027,2542.404721,2505.875141,2522.548562
12/21/2009,2431.294434,2509.280417,2415.253065,2508.866614
12/22/2009,2467.541016,2468.689897,2432.123447,2432.123447
12/23/2009,2474.786621,2476.47552,2456.117183,2467.744903
12/28/2009,2509.593994,2512.126122,2474.990364,2474.990364
12/29/2009,2518.895996,2520.765064,2504.768615,2511.167293
12/30/2009,2534.257324,2534.257324,2518.910998,2520.205869
1/4/2010,2575.312988,2575.955786,2532.797551,2533.849512
1/5/2010,2605.175537,2605.967498,2575.516537,2575.516537
1/6/2010,2603.195557,2622.01367,2587.609007,2605.379309
1/7/2010,2586.794189,2611.501234,2570.172767,2603.399499
1/8/2010,2614.268311,2614.434076,2583.746306,2586.692236
1/11/2010,2632.101563,2649.09382,2615.506018,2615.506018
1/12/2010,2659.447266,2659.872298,2623.671562,2632.203211
1/13/2010,2632.769531,2657.799562,2623.358765,2657.799562
1/14/2010,2645.077881,2661.824299,2633.479456,2633.479456
1/15/2010,2646.987061,2655.702542,2638.25327,2646.649915
1/18/2010,2642.445068,2648.820796,2629.805424,2645.338754
1/19/2010,2665.967285,2666.469219,2640.075226,2642.251167
1/20/2010,2667.162354,2689.670267,2654.896717,2666.474148
1/21/2010,2638.279541,2664.555375,2621.25823,2664.555375
1/22/2010,2610.238525,2636.859316,2580.06758,2636.859316
1/25/2010,2597.759033,2609.629421,2575.862668,2609.629421
1/26/2010,2578.314697,2608.638468,2568.849001,2597.251949
1/27/2010,2564.454346,2594.145331,2554.782846,2577.807831
1/28/2010,2619.463135,2619.876205,2565.278229,2565.278229
1/29/2010,2610.694336,2619.159095,2569.166166,2619.159095
2/1/2010,2587.448242,2610.49129,2571.658818,2610.49129
2/2/2010,2580.150635,2613.571454,2574.010004,2588.15838
2/3/2010,2604.44751,2606.181329,2580.555375,2580.555375
2/4/2010,2593.119141,2610.266423,2588.954264,2604.650675
2/5/2010,2518.878174,2592.308181,2506.791485,2592.308181
2/8/2010,2475.475586,2518.508822,2431.743159,2518.508822
2/9/2010,2489.388428,2490.012183,2439.815158,2474.653893
2/10/2010,2483.341309,2511.637326,2474.304551,2490.196022
2/11/2010,2507.653564,2508.165507,2468.758103,2483.542441
2/12/2010,2534.03833,2536.467191,2501.887726,2508.056431
2/15/2010,2517.358154,2533.635353,2510.861337,2533.635353
2/16/2010,2558.405273,2558.555414,2516.239923,2517.55994
2/17/2010,2581.239746,2581.499746,2558.506499,2558.506499
2/18/2010,2559.934326,2581.340476,2550.429813,2581.340476
2/19/2010,2554.276367,2559.833279,2527.646546,2559.833279
2/22/2010,2564.16333,2574.868969,2553.714761,2554.679812
2/23/2010,2583.550049,2583.594237,2537.935862,2564.06204
2/24/2010,2579.315674,2582.322637,2555.37056,2582.322637
2/25/2010,2548.933838,2583.058487,2535.993423,2579.214643
3/1/2010,2554.574463,2565.336983,2545.793799,2548.731673
